id,codigo_piscina,horario,fecha,estado,tipo_sobrante,sobrante_kilo,m_viejo,m_rojo,m_fresco,suelo_danado,muda,oxigeno_bajo,observacion,id_corrida,id_sector,heces,balanceado_en_tolva
45,BSS-008,AM,2025-07-18,,0,100.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-008,16",5,false,false
46,BSS-010,AM,2025-07-18,,1,0.00,0.0,0.0,0.0,false,false,false,POCO SOBRANTE,"BIO2,CP3,BSS-010,16",5,false,false
47,BSS-011,AM,2025-07-18,,1,100.00,0.0,0.0,0.0,false,false,false,POCO SOBRANTE,"BIO2,CP3,BSS-011,15",5,false,false
48,BSS-013,AM,2025-07-18,,0,125.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-013,16",5,false,false
49,BSS-015,AM,2025-07-18,,0,100.00,0.0,0.0,1.0,false,false,false,,"BIO2,CP3,BSS-015,15",5,false,false
50,BSS-016,AM,2025-07-18,,0,200.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-016,15",5,false,false
51,BSS-017,AM,2025-07-18,,0,50.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-017,15",5,false,false
52,BSS-020,AM,2025-07-18,,0,150.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-020,16",5,false,false
53,BSS-022,AM,2025-07-18,,0,125.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-022,17",5,false,false
54,BSS-023,AM,2025-07-18,,0,100.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-023,16",5,false,false
55,BSS-025,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-025,18",5,false,false
56,BSS-026,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-026,16",5,false,false
57,BSS-027,AM,2025-07-18,,0,30.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-027,16",5,false,false
58,BSS-029,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-029,16",5,false,false
59,BSS-032,AM,2025-07-18,,0,50.00,0.0,0.0,0.0,false,true,false,FULL MUDA,"BIO2,CP3,BSS-032,15",5,false,false
60,BSS-034,AM,2025-07-18,,0,12.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-034,16",5,false,false
61,BSS-035,AM,2025-07-18,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-035,16",5,false,false
62,BSS-039,AM,2025-07-18,,0,125.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-039,16",5,false,false
63,BSS-040,AM,2025-07-18,,0,100.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP3,BSS-040,17",5,false,false
64,BSS-007,PM,2025-07-18,,1,0.00,0.0,0.0,0.0,false,false,false,POCO SOBRANTE,"BIO2,CP3,BSS-007,16",5,false,false
65,BSS-010,PM,2025-07-18,,1,0.00,0.0,0.0,0.0,false,false,false,POCO SOBRANTE,"BIO2,CP3,BSS-010,16",5,false,false
66,BSS-011,PM,2025-07-18,,1,0.00,0.0,0.0,0.0,false,false,false,POCO SOBRANTE,"BIO2,CP3,BSS-011,15",5,false,false
67,BSS-012,PM,2025-07-18,,4,0.00,0.0,0.0,0.0,false,false,false,FULL SOBRANTE,"BIO2,CP3,BSS-012,16",5,false,false
68,BSS-020,PM,2025-07-18,,0,0.00,0.0,1.0,0.0,false,false,false,,"BIO2,CP3,BSS-020,16",5,false,false
69,BA2-042,AM,2025-07-19,,0,0.00,0.0,1.0,0.0,false,false,false,,"BIO2,CP4,BA2-042,15",6,false,false
70,BA2-043,AM,2025-07-19,,0,0.00,0.0,0.0,0.0,false,false,false,C0SECHA ,"BIO2,CP4,BA2-043,14",6,false,false
71,BA2-044,AM,2025-07-19,,0,0.00,0.0,0.0,0.0,false,false,false,C0SECHA ,"BIO2,CP4,BA2-044,15",6,false,false
72,BA2-045,AM,2025-07-19,,0,25.00,0.0,3.0,0.0,false,false,false,,"BIO2,CP4,BA2-045,15",6,false,false
73,BA2-046,AM,2025-07-19,,0,25.00,0.0,4.0,0.0,false,false,false,,"BIO2,CP4,BA2-046,14",6,false,false
74,BA2-048,AM,2025-07-19,,0,25.00,0.0,1.0,0.0,false,false,false,,"BIO2,CP4,BA2-048,15",6,false,false
75,BA2-049,AM,2025-07-19,,0,0.00,0.0,0.0,0.0,false,false,false,C0SECHA ,"BIO2,CP4,BA2-049,16",6,false,false
76,BA2-050,AM,2025-07-19,,0,25.00,0.0,4.0,2.0,false,false,false,,"BIO2,CP4,BA2-050,15",6,false,false
77,BA2-201,AM,2025-07-19,,0,50.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP4,BA2-201,22",6,false,false
78,BA2-203,AM,2025-07-19,,0,100.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP4,BA2-203,24",6,false,false
79,BA2-204,AM,2025-07-19,,0,75.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP4,BA2-204,24",6,false,false
80,BA2-043,PM,2025-07-19,,0,0.00,0.0,0.0,0.0,false,false,false,C0SECHA ,"BIO2,CP4,BA2-043,14",6,false,false
81,BA2-044,PM,2025-07-19,,0,0.00,0.0,0.0,0.0,false,false,false,C0SECHA ,"BIO2,CP4,BA2-044,15",6,false,false
82,BA2-045,PM,2025-07-19,,0,0.00,0.0,0.0,1.0,false,false,false,,"BIO2,CP4,BA2-045,15",6,false,false
83,BA2-046,PM,2025-07-19,,0,0.00,0.0,4.0,0.0,false,false,false,,"BIO2,CP4,BA2-046,14",6,false,false
84,BA2-047,PM,2025-07-19,,0,0.00,0.0,4.0,0.0,false,false,false,,"BIO2,CP4,BA2-047,14",6,false,false
85,BA2-048,PM,2025-07-19,,0,0.00,0.0,1.0,0.0,false,false,false,,"BIO2,CP4,BA2-048,15",6,false,false
86,BA2-049,PM,2025-07-19,,0,0.00,0.0,0.0,0.0,false,false,false,C0SECHA ,"BIO2,CP4,BA2-049,16",6,false,false
87,BA2-050,PM,2025-07-19,,0,0.00,0.0,4.0,1.0,false,false,false,,"BIO2,CP4,BA2-050,15",6,false,false
88,BSF-001,PM,2025-07-19,,0,150.00,0.0,0.0,0.0,false,false,false,BARRIDA,"BIO2,CP1,BSF-001,15",3,false,false
89,BSF-002,PM,2025-07-19,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP1,BSF-002,18",3,false,false
